first_name_left,last_name_left,country_left,first_name_right,last_name_right,country_right,label
Luca,Colombo,Italy,Luca,Colombo,Italy,1
Chloé,Petit,France,Lena,Weiß,Germany,0
Elena,Müller,Switzerland,Hans,Weiss,Switzerland,0
Maxime,Hugentobler,Switzerland,François,Hugentobler,Switzerland,0
Lukas,Schneider,Germany,Nina,Kraemer,Germany,0
Sébastien,Laurent,France,Sbastien,Laurent,France,1
Miguel,Rocha,Brazil,Miguel,Rocha,Brazil,1
Iñigo,Gómez,Spain,Iñigo,Gómez,Spain,1
Giorgia,Ferrari,Italy,Alessandro,Colombo,Italy,0
Miguel,Hernández,Mexico,uLcía,Pérez,Mexico,0
Óscar,Gómez,Spain,scar,Gmez,Spain,1
Jürgen,Schneider,Germany,Hannah,Schenider,Germany,0
Valeria,Torres,Mexico,Rneé,Pérez,Mexico,0
Francesco,Marino,Italy,Francesoc,Marino,Italy,1
Andrés,Pérez,Mexico,Andrés,Pérez,Mexico,1
Maxime,Hofmann,Switzerland,José,Torres,Mexico,0
Mélanie,Grüter,Switzerland,Mélanie,Grüter,Switzerland,1
Luísa,Lima,Brazil,Luísa,Lima,Brazil,1
Mariana,Oliveira,Brazil,Ana,Carvalho,Brazil,0
Günter,Schneider,Germany,Lena,Müller,Germany,0
François,Keller,Switzerland,Sergio,Álvarez,Spain,0
Giulia,Fischer,Switzerland,Maxime,Schneider,Switzerland,0
Matteo,Ferrari,Italy,Frnacesco,Colombo,Italy,0
Léa,Müller,Switzerland,Léa,Müller,Switzerland,0
Laura,Pérez,Spain,Iñigo,Martínez,Spain,0
Matteo,Grüter,Switzerland,Mattoe,Grüter,Switzerland,1
Léa,Laurent,France,La,Laurent,France,1
José,García,Mexico,José,García,Mexico,1
Jordi,Muñoz,Spain,Jordi,Muoz,Spain,1
Jürg,Meier,Switzerland,Jürg,Schneider,Switzerland,0
Léa,Meier,Switzerland,Mélanie,Meier,Switzerland,0
Gonçalo,Almeida,Portugal,Lucía,Martínez,Mexico,0
Miguel,Hernández,Mexico,Matteo,Käser,Switzerland,0
Sabine,Groß,Germany,Hannah,Müller,Germany,0
Rogério,Pereira,Brazil,oRgério,ePreira,Brazil,1
Andrés,Flores,Mexico,Andrs,Flores,Mexico,1
José,Díaz,Spain,Sara,Ferrari,Italy,0
Óscar,Martínez,Spain,Óscar,Martínez,Spain,1
Camille,Petit,France,Camille,Petit,France,1
Élodie,Durand,France,Élodie,Durnad,France,1
Lucía,Ramírez,Mexico,Lucía,Ramírez,Mexico,1
